size_kb,decompress_time_sec
3660.000,1.553
3670.000,1.648
3680.000,1.641
3690.000,1.529
3700.000,1.512
3710.000,1.519
3720.000,1.510
3730.000,1.533
3740.000,1.635
3750.000,1.545
3760.000,1.588
3770.000,1.675
3780.000,1.548
3790.000,1.681
3800.000,1.598
3810.000,1.577
3820.000,1.667
3830.000,1.650
3840.000,1.688
3850.000,1.670
3860.000,1.680
3870.000,1.600
3880.000,1.586
3890.000,1.676
3900.000,1.680
3910.000,1.712
3920.000,1.618
3930.000,1.617
3940.000,1.684
3950.000,1.617
3960.000,1.715
3970.000,1.706
3980.000,1.641
3990.000,1.696
4000.000,1.700
4010.000,1.599
4020.000,1.730
4030.000,1.669
4040.000,1.727
4050.000,1.648
4060.000,1.744
4070.000,1.667
4080.000,1.613
4090.000,1.760
4100.000,1.627
4110.000,1.666
4120.000,1.766
4130.000,1.768
4140.000,1.709
4150.000,1.728
4160.000,1.701
4170.000,1.679
4180.000,1.686
4190.000,1.748
4200.000,1.759
4210.000,1.767
4220.000,1.768
4230.000,1.659
4240.000,1.730
4250.000,1.663
4260.000,1.744
4270.000,1.725
4280.000,1.800
4290.000,1.712
4300.000,1.676
4310.000,1.678
4320.000,1.785
4330.000,1.768
4340.000,1.688
4350.000,1.689
4360.000,1.790
4370.000,1.686
4380.000,1.813
4390.000,1.796
4400.000,1.699
4410.000,1.708
4420.000,1.855
4430.000,1.757
4440.000,1.754
4450.000,1.827
4460.000,1.846
4470.000,1.850
4480.000,1.817
4490.000,1.759
4500.000,1.716
4510.000,1.836
4520.000,1.803
4530.000,1.789
4540.000,1.861
4550.000,1.728
4560.000,1.787
4570.000,1.711
4580.000,1.787
4590.000,1.725
4600.000,1.738
4610.000,1.741
4620.000,1.824
4630.000,1.849
4640.000,1.826
4650.000,1.885
4660.000,1.792
4670.000,1.781
4680.000,1.878
4690.000,1.778
4700.000,1.904
4710.000,1.754
4720.000,1.910
4730.000,1.765
4740.000,1.901
4750.000,1.851
4760.000,1.937
4770.000,1.796
4780.000,1.880
4790.000,1.952
4800.000,1.883
4810.000,1.903
4820.000,1.920
4830.000,1.889
4840.000,1.924
4850.000,1.916
4860.000,1.970
4870.000,1.839
4880.000,1.881
4890.000,1.986
4900.000,1.975
4910.000,1.913
4920.000,1.946
4930.000,1.897
4940.000,1.887
4950.000,1.934
4960.000,1.913
4970.000,1.957
4980.000,1.880
4990.000,2.032
5000.000,2.033
5010.000,1.990
5020.000,1.968
5030.000,1.929
5040.000,2.013
5050.000,1.990
5060.000,1.904
5070.000,2.027
5080.000,2.014
5090.000,2.043
5100.000,2.009
5110.000,1.995
5120.000,1.970
5130.000,2.049
5140.000,2.038
5150.000,1.915
5160.000,1.916
5170.000,1.974
5180.000,2.052
5190.000,2.081
5200.000,1.952
5210.000,2.031
5220.000,1.996
5230.000,2.092
5240.000,2.079
5250.000,2.082
5260.000,2.027
5270.000,2.022
5280.000,2.002
5290.000,1.969
5300.000,2.102
5310.000,2.104
5320.000,2.139
5330.000,2.148
5340.000,2.075
5350.000,2.111
5360.000,2.142
5370.000,2.135
5380.000,2.047
5390.000,2.082
5400.000,2.024
5410.000,2.155
5420.000,2.108
5430.000,2.058
5440.000,2.126
5450.000,2.119
5460.000,2.080
5470.000,2.039
5480.000,2.135
5490.000,2.117
5500.000,2.160
5510.000,2.125
5520.000,2.189
5530.000,2.152
5540.000,2.162
5550.000,2.215
5560.000,2.142
5570.000,2.092
5580.000,2.076
5590.000,2.190
5600.000,2.167
5610.000,2.184
5620.000,2.114
5630.000,2.103
5640.000,2.086
5650.000,2.138
5660.000,2.180
5670.000,2.151
5680.000,2.157
5690.000,2.237
5700.000,2.151
5710.000,2.180
5720.000,2.222
5730.000,2.163
5740.000,2.202
5750.000,2.244
5760.000,2.262
5770.000,2.135
5780.000,2.256
5790.000,2.190
5800.000,2.153
5810.000,2.188
5820.000,2.272
5830.000,2.198
5840.000,2.178
5850.000,2.235
5860.000,2.176
5870.000,2.153
5880.000,2.164
5890.000,2.173
5900.000,2.174
5910.000,2.177
5920.000,2.265
5930.000,2.194
5940.000,2.226
5950.000,2.317
5960.000,2.253
5970.000,2.285
5980.000,2.210
5990.000,2.215
6000.000,2.195
6010.000,2.221
6020.000,2.236
6030.000,2.221
6040.000,2.215
6050.000,2.213
6060.000,2.274
6070.000,2.236
6080.000,2.264
6090.000,2.291
6100.000,2.323
6110.000,2.221
6120.000,2.342
6130.000,2.314
6140.000,2.226
6150.000,2.365
6160.000,2.381
6170.000,2.251
6180.000,2.284
6190.000,2.366
6200.000,2.366
6210.000,2.280
6220.000,2.291
6230.000,2.318
6240.000,2.331
6250.000,2.364
6260.000,2.328
6270.000,2.347
6280.000,2.400
6290.000,2.288
6300.000,2.325
6310.000,2.406
6320.000,2.430
6330.000,2.363
6340.000,2.361
6350.000,2.291
6360.000,2.353
6370.000,2.370
6380.000,2.330
6390.000,2.341
6400.000,2.364
6410.000,2.307
6420.000,2.358
6430.000,2.337
6440.000,2.357
6450.000,2.321
6460.000,2.451
6470.000,2.407
6480.000,2.428
6490.000,2.448
6500.000,2.405
6510.000,2.346
6520.000,2.423
6530.000,2.435
6540.000,2.460
6550.000,2.408
6560.000,2.366
6570.000,2.399
6580.000,2.414
6590.000,2.464
6600.000,2.455
6610.000,2.421
6620.000,2.530
6630.000,2.482
6640.000,2.425
6650.000,2.402
6660.000,2.416
6670.000,2.433
6680.000,2.421
6690.000,2.428
6700.000,2.440
6710.000,2.427
6720.000,2.547
6730.000,2.413
6740.000,2.483
6750.000,2.470
6760.000,2.564
6770.000,2.425
6780.000,2.478
6790.000,2.580
6800.000,2.565
6810.000,2.555
6820.000,2.463
6830.000,2.453
6840.000,2.536
6850.000,2.580
6860.000,2.527
6870.000,2.530
6880.000,2.481
6890.000,2.561
6900.000,2.470
6910.000,2.495
6920.000,2.514
6930.000,2.529
6940.000,2.485
6950.000,2.469
6960.000,2.546
6970.000,2.493
6980.000,2.539
6990.000,2.473
7000.000,2.528
7010.000,2.540
7020.000,2.464
7030.000,2.511
7040.000,2.476
7050.000,2.467
7060.000,2.614
7070.000,2.513
7080.000,2.592
7090.000,2.502
7100.000,2.570
7110.000,2.582
7120.000,2.555
7130.000,2.537
7140.000,2.537
7150.000,2.530
7160.000,2.624
7170.000,2.602
7180.000,2.620
7190.000,2.489
7200.000,2.584
7210.000,2.622
7220.000,2.505
7230.000,2.493
7240.000,2.606
7250.000,2.585
7260.000,2.634
7270.000,2.518
7280.000,2.626
7290.000,2.533
7300.000,2.534
7310.000,2.537
7320.000,2.643
7330.000,2.623
7340.000,2.606
7350.000,2.588
7360.000,2.673
7370.000,2.593
7380.000,2.663
7390.000,2.605
7400.000,2.601
7410.000,2.616
7420.000,2.598
7430.000,2.671
7440.000,2.630
7450.000,2.594
7460.000,2.703
7470.000,2.617
7480.000,2.646
7490.000,2.706
7500.000,2.664
7510.000,2.585
7520.000,2.721
7530.000,2.669
7540.000,2.625
7550.000,2.594
7560.000,2.697
7570.000,2.670
7580.000,2.661
7590.000,2.717
7600.000,2.699
7610.000,2.595
7620.000,2.624
7630.000,2.622
7640.000,2.704
7650.000,2.592
7660.000,2.675
7670.000,2.705
7680.000,2.725
7690.000,2.646
7700.000,2.726
7710.000,2.615
7720.000,2.736
7730.000,2.625
7740.000,2.671
7750.000,2.742
7760.000,2.639
7770.000,2.649
7780.000,2.729
7790.000,2.735
7800.000,2.726
7810.000,2.736
7820.000,2.706
7830.000,2.666
7840.000,2.682
7850.000,2.664
7860.000,2.788
7870.000,2.735
7880.000,2.707
7890.000,2.724
7900.000,2.808
7910.000,2.683
7920.000,2.758
7930.000,2.747
7940.000,2.767
7950.000,2.669
7960.000,2.812
7970.000,2.825
7980.000,2.774
7990.000,2.802
8000.000,2.835
8010.000,2.804
8020.000,2.717
8030.000,2.792
8040.000,2.793
8050.000,2.769
8060.000,2.824
8070.000,2.856
8080.000,2.857
8090.000,2.794
8100.000,2.744
8110.000,2.888
8120.000,2.866
8130.000,2.757
8140.000,2.890
8150.000,2.880
8160.000,2.821
8170.000,2.835
8180.000,2.811
8190.000,2.758
8200.000,2.806
8210.000,2.879
8220.000,2.754
8230.000,2.804
8240.000,2.812
8250.000,2.831
8260.000,2.890
8270.000,2.801
8280.000,2.801
8290.000,2.871
8300.000,2.829
8310.000,2.796
8320.000,2.835
8330.000,2.785
8340.000,2.800
8350.000,2.854
8360.000,2.856
8370.000,2.944
8380.000,2.859
8390.000,2.891
8400.000,2.906
8410.000,2.809
8420.000,2.916
8430.000,2.845
8440.000,2.975
8450.000,2.848
8460.000,2.893
8470.000,2.843
8480.000,2.996
8490.000,2.920
8500.000,2.933
8510.000,2.861
8520.000,2.974
8530.000,2.890
8540.000,3.006
8550.000,2.896
8560.000,2.893
8570.000,2.871
8580.000,2.944
8590.000,2.964
8600.000,2.882
8610.000,3.004
8620.000,2.955
8630.000,2.976
8640.000,2.962
8650.000,2.960
8660.000,2.989
8670.000,2.932
8680.000,2.938
8690.000,3.047
8700.000,3.058
8710.000,2.965
8720.000,2.951
8730.000,3.008
8740.000,2.975
8750.000,2.915
8760.000,2.938
8770.000,3.034
8780.000,3.033
8790.000,2.933
8800.000,2.969
8810.000,2.979
8820.000,3.052
8830.000,2.950
8840.000,2.967
8850.000,3.087
8860.000,2.995
8870.000,3.076
8880.000,3.013
8890.000,3.004
8900.000,3.019
8910.000,3.100
8920.000,3.117
8930.000,3.117
8940.000,3.050
8950.000,3.093
8960.000,3.028
8970.000,3.051
8980.000,3.153
8990.000,3.009
9000.000,3.025
9010.000,3.053
9020.000,3.031
9030.000,3.061
9040.000,3.135
9050.000,3.119
9060.000,3.199
9070.000,3.195
9080.000,3.127
9090.000,3.116
9100.000,3.138
9110.000,3.180
9120.000,3.135
9130.000,3.196
9140.000,3.170
9150.000,3.195
9160.000,3.180
9170.000,3.149
9180.000,3.253
9190.000,3.231
9200.000,3.140
9210.000,3.259
9220.000,3.198
