size_kb,decompress_time_sec
3660.000,1.298
3670.000,1.315
3680.000,1.321
3690.000,1.340
3700.000,1.342
3710.000,1.335
3720.000,1.352
3730.000,1.359
3740.000,1.377
3750.000,1.376
3760.000,1.389
3770.000,1.394
3780.000,1.414
3790.000,1.417
3800.000,1.419
3810.000,1.410
3820.000,1.394
3830.000,1.399
3840.000,1.404
3850.000,1.411
3860.000,1.411
3870.000,1.415
3880.000,1.415
3890.000,1.416
3900.000,1.439
3910.000,1.455
3920.000,1.458
3930.000,1.472
3940.000,1.471
3950.000,1.473
3960.000,1.473
3970.000,1.461
3980.000,1.461
3990.000,1.451
4000.000,1.457
4010.000,1.470
4020.000,1.495
4030.000,1.496
4040.000,1.503
4050.000,1.503
4060.000,1.531
4070.000,1.546
4080.000,1.542
4090.000,1.541
4100.000,1.539
4110.000,1.538
4120.000,1.551
4130.000,1.571
4140.000,1.574
4150.000,1.556
4160.000,1.547
4170.000,1.537
4180.000,1.525
4190.000,1.513
4200.000,1.517
4210.000,1.538
4220.000,1.540
4230.000,1.544
4240.000,1.544
4250.000,1.543
4260.000,1.529
4270.000,1.518
4280.000,1.506
4290.000,1.504
4300.000,1.506
4310.000,1.488
4320.000,1.493
4330.000,1.497
4340.000,1.483
4350.000,1.492
4360.000,1.507
4370.000,1.511
4380.000,1.496
4390.000,1.500
4400.000,1.504
4410.000,1.504
4420.000,1.505
4430.000,1.526
4440.000,1.529
4450.000,1.530
4460.000,1.512
4470.000,1.528
4480.000,1.531
4490.000,1.532
4500.000,1.550
4510.000,1.544
4520.000,1.549
4530.000,1.565
4540.000,1.569
4550.000,1.574
4560.000,1.573
4570.000,1.563
4580.000,1.565
4590.000,1.571
4600.000,1.583
4610.000,1.584
4620.000,1.571
4630.000,1.574
4640.000,1.577
4650.000,1.574
4660.000,1.597
4670.000,1.599
4680.000,1.583
4690.000,1.599
4700.000,1.603
4710.000,1.620
4720.000,1.608
4730.000,1.623
4740.000,1.627
4750.000,1.614
4760.000,1.621
4770.000,1.608
4780.000,1.601
4790.000,1.617
4800.000,1.620
4810.000,1.639
4820.000,1.642
4830.000,1.644
4840.000,1.645
4850.000,1.633
4860.000,1.624
4870.000,1.655
4880.000,1.667
4890.000,1.668
4900.000,1.673
4910.000,1.674
4920.000,1.676
4930.000,1.678
4940.000,1.679
4950.000,1.682
4960.000,1.676
4970.000,1.680
4980.000,1.686
4990.000,1.690
5000.000,1.691
5010.000,1.692
5020.000,1.708
5030.000,1.721
5040.000,1.733
5050.000,1.742
5060.000,1.742
5070.000,1.758
5080.000,1.773
5090.000,1.775
5100.000,1.785
5110.000,1.801
5120.000,1.794
5130.000,1.788
5140.000,1.790
5150.000,1.800
5160.000,1.794
5170.000,1.797
5180.000,1.801
5190.000,1.804
5200.000,1.817
